Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio
2016-11-04 12:05:07.00,2016-11-04 07:05:07.00,45.44985711574554,46.800733,-92.112060,5,347.8382568359375,4,56.32147166547747,1.190000057220459,1.249283218137854,238.7109375,237.1169128417969,238.0442047119141,20,-20.81394195491323
2016-11-04 12:05:11.00,2016-11-04 07:05:11.00,49.44985783100128,46.800715,-92.112123,5,348.6038818359375,4,61.59092894322216,1.289999961853027,1.249283218137854,239.4140625,232.3413848876953,233.2686767578125,20,-32.01061322894112
2016-11-04 12:05:15.00,2016-11-04 07:05:15.00,53.44985723495483,46.800696,-92.112191,5,348.99609375,4,67.12297334286812,1.360000014305115,1.249283218137854,244.3359375,240.2517242431641,241.1790161132812,20,234.2546400398808
2016-11-04 12:05:19.00,2016-11-04 07:05:19.00,57.44985777139664,46.800679,-92.112258,5,349.352294921875,6,72.58518145719624,1.210000038146973,1.249283218137854,245.0390625,239.1987152099609,240.1260070800781,20,32.90136931059195
2016-11-04 12:05:20.16,2016-11-04 07:05:20.16,57.44985777139664,46.800679,-92.112258,5,349.352294921875,6,72.58518145719624,1.210000038146973,1.293336914241552,245.0390625,239.1987152099609,240.1260070800781,20,32.90136931059195
2016-11-04 12:05:23.00,2016-11-04 07:05:23.00,61.44985741376877,46.800660,-92.112318,5,348.3963623046875,4,77.5854922557823,1.279999971389771,1.293336914241552,236.953125,241.1545104980469,242.0818023681641,20,40.13188880899983
2016-11-04 12:05:28.00,2016-11-04 07:05:28.00,66.44985711574554,46.800641,-92.112383,5,348.767578125,4,83.02200741959561,1,1.293336914241552,255.5859375,248.1137847900391,249.0410766601562,20,197.5296596840599
2016-11-04 12:05:33.00,2016-11-04 07:05:33.00,71.44985646009445,46.800622,-92.112459,5,349.1680908203125,3,89.14020967234339,1.179999947547913,1.293336914241552,237.3046875,234.2023315429688,235.1296234130859,20,354.6270657307894
2016-11-04 12:05:35.15,2016-11-04 07:05:35.15,71.44985646009445,46.800622,-92.112459,5,349.1299438476562,3,89.14020967234339,1.179999947547913,1.20953064875081,237.3046875,234.2023315429688,235.1296234130859,20,354.6270657307894
2016-11-04 12:05:37.00,2016-11-04 07:05:37.00,75.44985717535019,46.800589,-92.112510,5,348.5409545898438,3,94.47440891163617,1.269999980926514,1.20953064875081,225,218.5098724365234,219.4371643066406,20,54.12546299943339
2016-11-04 12:05:42.00,2016-11-04 07:05:42.00,80.44985741376877,46.800554,-92.112567,5,348.988525390625,4,100.3914671036143,1.149999976158142,1.20953064875081,238.0078125,220.7310791015625,221.6583709716797,20,67.28937074378521
2016-11-04 12:05:46.00,2016-11-04 07:05:46.00,84.44985723495483,46.800523,-92.112618,5,348.9339599609375,3,105.5307513715377,1.299999952316284,1.20953064875081,234.4921875,232.3040466308594,233.2313385009766,20,195.5041186675683
2016-11-04 12:05:50.00,2016-11-04 07:05:50.00,88.44985729455948,46.800491,-92.112669,5,349.685791015625,3,110.8275648735034,1.269999980926514,1.20953064875081,234.4921875,229.4933013916016,230.4205932617188,20,189.9255882314555
2016-11-04 12:05:50.16,2016-11-04 07:05:50.16,88.44985729455948,46.800491,-92.112669,5,349.7063598632812,3,110.8275648735034,1.269999980926514,1.302971133425775,234.4921875,229.4933013916016,230.4205932617188,20,189.9255882314555
