Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio
2016-10-01 13:23:42.00,2016-10-01 08:23:42.00,64.02498131990433,46.800758,-92.112308,5,345.0387229919434,3,75.11378131764253,1.269999980926514,1.276666720708211,195.1171875,187.4452209472656,188.366943359375,20,-8.066103629364706
2016-10-01 13:23:47.00,2016-10-01 08:23:47.00,69.02498060464859,46.800704,-92.112314,5,344.1195945739746,3,81.16816552541594,1.230000019073486,1.276666720708211,184.921875,174.7478942871094,175.6696166992188,20,-7.225851776793971
2016-10-01 13:23:49.53,2016-10-01 08:23:49.53,69.02498060464859,46.800704,-92.112314,5,344.7578392028809,3,81.16816552541594,1.230000019073486,1.261730412934644,184.921875,174.7478942871094,175.6696166992188,20,-7.225851776793971
2016-10-01 13:23:51.00,2016-10-01 08:23:51.00,73.02498137950897,46.800652,-92.112303,5,345.1283836364746,3,87.02538417382073,1.379999995231628,1.261730412934644,178.9453125,171.6671447753906,172.5888671875,20,-7.509972535342413
2016-10-01 13:23:54.00,2016-10-01 08:23:54.00,76.02498054504395,46.800608,-92.112284,5,346.0256004333496,3,92.07065461463358,1.269999980926514,1.261730412934644,165.234375,159.056640625,159.9783630371094,20,-9.44481710486864
2016-10-01 13:23:58.00,2016-10-01 08:23:58.00,80.02498126029968,46.800557,-92.112246,5,346.8394432067871,3,98.47239924481137,1.330000042915344,1.261730412934644,156.796875,145.4083709716797,146.3300933837891,20,-19.62318359882592
2016-10-01 13:24:02.00,2016-10-01 08:24:02.00,84.02498084306717,46.800510,-92.112199,5,347.0021629333496,3,104.8053402343795,1.269999980926514,1.261730412934644,150.1171875,143.4500732421875,144.3717956542969,20,-131.1049616044061
2016-10-01 13:24:04.52,2016-10-01 08:24:04.52,84.02498084306717,46.800510,-92.112199,5,347.1823387145996,3,104.8053402343795,1.269999980926514,1.291610286372055,150.1171875,143.4500732421875,144.3717956542969,20,-131.1049616044061
2016-10-01 13:24:06.00,2016-10-01 08:24:06.00,88.02498066425323,46.800466,-92.112152,5,347.2874412536621,3,110.8253115014148,1.740000009536743,1.291610286372055,137.8125,136.0332946777344,136.9550170898438,20,40.88142892265386
2016-10-01 13:24:11.00,2016-10-01 08:24:11.00,93.02498173713684,46.800428,-92.112097,5,347.6899070739746,3,116.7849608933134,1.179999947547913,1.291610286372055,127.96875,139.4753875732422,140.3971099853516,20,18.73718875139232
2016-10-01 13:24:16.00,2016-10-01 08:24:16.00,98.02498066425323,46.800399,-92.112040,5,347.6903343200684,3,122.2562568592339,1.200000047683716,1.291610286372055,134.6484375,128.0536651611328,128.9753875732422,20,14.35072954529894
2016-10-01 13:24:19.53,2016-10-01 08:24:19.53,98.02498066425323,46.800399,-92.112040,5,347.6007347106934,3,122.2562568592339,1.200000047683716,1.184800361952909,134.6484375,128.0536651611328,128.9753875732422,20,14.35072954529894
2016-10-01 13:24:21.00,2016-10-01 08:24:21.00,103.0249807834625,46.800370,-92.111979,5,347.8029441833496,3,127.8982415852261,1.149999976158142,1.184800361952909,111.4453125,104.6060256958008,105.5277404785156,20,13.09007323164404
2016-10-01 13:24:26.00,2016-10-01 08:24:26.00,108.024981200695,46.800359,-92.111905,5,347.6653709411621,3,133.6181382010539,1.120000004768372,1.184800361952909,100.8984375,97.44281768798828,98.36453247070312,20,15.9725442588343
2016-10-01 13:24:30.00,2016-10-01 08:24:30.00,112.0249804258347,46.800357,-92.111839,5,347.9126853942871,3,138.6884119051542,1.320000052452087,1.184800361952909,92.8125,86.55960845947266,87.4813232421875,20,23.93881058561238
2016-10-01 13:24:34.00,2016-10-01 08:24:34.00,116.0249807238579,46.800351,-92.111773,5,348.4053611755371,3,143.7336823459671,1.289999961853027,1.184800361952909,92.109375,81.49799346923828,82.41970825195312,20,32.96284164233094
2016-10-01 13:24:34.52,2016-10-01 08:24:34.52,116.0249807238579,46.800351,-92.111773,5,348.4053611755371,3,143.7336823459671,1.289999961853027,1.23901529697487,92.109375,81.49799346923828,82.41970825195312,20,32.96284164233094
2016-10-01 13:24:38.00,2016-10-01 08:24:38.00,120.0249803066254,46.800359,-92.111705,5,348.3306541442871,3,149.0526191813335,1.269999980926514,1.23901529697487,85.4296875,84.74018859863281,85.66190338134766,20,34.23414173888634
2016-10-01 13:24:42.00,2016-10-01 08:24:42.00,124.0249804258347,46.800370,-92.111641,5,348.2426414489746,3,154.0520266629943,1.190000057220459,1.23901529697487,72.0703125,79.98065948486328,80.90237426757812,20,40.35424045838644
2016-10-01 13:24:47.00,2016-10-01 08:24:47.00,129.0249808430672,46.800386,-92.111567,5,347.1802635192871,3,160.0078856523013,1.320000052452087,1.23901529697487,75.5859375,86.62957000732422,87.55128479003906,20,98.53256414010885
2016-10-01 13:24:49.53,2016-10-01 08:24:49.53,129.0249808430672,46.800386,-92.111567,5,346.9891014099121,3,160.0078856523013,1.320000052452087,1.245051111485491,75.5859375,86.62957000732422,87.55128479003906,20,98.53256414010885
2016-10-01 13:24:52.00,2016-10-01 08:24:52.00,134.0249809622765,46.800394,-92.111496,5,347.1094627380371,3,165.4742264812361,1.289999961853027,1.245051111485491,81.9140625,83.83209228515625,84.75380706787109,20,-98.46630932641763
2016-10-01 13:24:57.00,2016-10-01 08:24:57.00,139.0249809026718,46.800406,-92.111421,5,346.9180564880371,3,171.3660421147956,1.190000057220459,1.245051111485491,78.046875,93.35626983642578,94.27798461914062,20,-51.99028436429783
2016-10-01 13:25:02.00,2016-10-01 08:25:02.00,144.0249806642532,46.800413,-92.111347,5,346.1885032653809,3,177.0383646029461,1.210000038146973,1.245051111485491,81.5625,76.35532379150391,77.27703857421875,20,-34.43119324894358
