OBJECTID,FIRST_DIST,FIRST_Z,SEC_DIST,SEC_Z,LINE_ID,SRC_TYPE,SRC_ID,SRC_NAME
-1,0.000000000000000,346.303700000004028,,,1,Surface,0,dem_1m_m
-1,0.996987472624248,346.338399999993271,,,1,Surface,0,dem_1m_m
-1,1.994055178599065,346.391000000003260,,,1,Surface,0,dem_1m_m
-1,2.991042650111503,346.389899999994668,,,1,Surface,0,dem_1m_m
-1,3.988030122735752,346.395099999994272,,,1,Surface,0,dem_1m_m
-1,4.985097828710569,346.399699999994482,,,1,Surface,0,dem_1m_m
-1,5.982085301334817,346.400500000003376,,,1,Surface,0,dem_1m_m
-1,6.979153006197914,346.403099999995902,,,1,Surface,0,dem_1m_m
-1,7.912730882833721,346.390100000004168,,,1,Surface,0,dem_1m_m
-1,8.846261236043741,346.381899999993038,,,1,Surface,0,dem_1m_m
-1,9.779839110974875,346.383900000000722,,,1,Surface,0,dem_1m_m
-1,10.713416986791264,346.369999999995343,,,1,Surface,0,dem_1m_m
-1,11.647035329564641,346.345799999995506,,,1,Surface,0,dem_1m_m
-1,12.580613205381031,346.345600000000559,,,1,Surface,0,dem_1m_m
-1,13.514191081197421,346.341400000004796,,,1,Surface,0,dem_1m_m
-1,14.447721433522339,346.313399999999092,,,1,Surface,0,dem_1m_m
-1,15.397444640944096,346.264500000004773,,,1,Surface,0,dem_1m_m
-1,16.347256601539002,346.234899999995832,,,1,Surface,0,dem_1m_m
-1,17.296979808960756,346.210099999996601,,,1,Surface,0,dem_1m_m
-1,18.246703015555944,346.244900000005146,,,1,Surface,0,dem_1m_m
-1,19.196514976119278,346.253899999996065,,,1,Surface,0,dem_1m_m
-1,20.146238182714466,346.247799999997369,,,1,Surface,0,dem_1m_m
-1,21.095961390136221,346.206099999995786,,,1,Surface,0,dem_1m_m
-1,22.045773350699555,346.180600000006962,,,1,Surface,0,dem_1m_m
-1,22.994088113759943,346.173699999999371,,,1,Surface,0,dem_1m_m
-1,23.942461547407831,346.172000000005937,,,1,Surface,0,dem_1m_m
-1,24.890776310688498,346.141199999998207,,,1,Surface,0,dem_1m_m
-1,25.839149744336385,346.101299999994808,,,1,Surface,0,dem_1m_m
-1,26.787429502609733,346.095000000001164,,,1,Surface,0,dem_1m_m
-1,27.735744265670121,346.099400000006426,,,1,Surface,0,dem_1m_m
-1,28.684117699538568,346.101099999999860,,,1,Surface,0,dem_1m_m
-1,29.675195093392006,346.086899999994785,,,1,Surface,0,dem_1m_m
-1,30.666302726550676,346.062099999995553,,,1,Surface,0,dem_1m_m
-1,31.657326161589914,346.022700000001350,,,1,Surface,0,dem_1m_m
-1,32.648349597634130,345.978400000007241,,,1,Surface,0,dem_1m_m
-1,33.639511184018417,345.938999999998487,,,1,Surface,0,dem_1m_m
-1,34.630534619057656,345.914799999998650,,,1,Surface,0,dem_1m_m
-1,35.512122534096946,345.907900000005611,,,1,Surface,0,dem_1m_m
-1,36.393644501344873,345.908299999995506,,,1,Surface,0,dem_1m_m
-1,37.275166469292934,345.859100000001490,,,1,Surface,0,dem_1m_m
-1,38.156829556618419,345.829400000002352,,,1,Surface,0,dem_1m_m
-1,39.038351524566480,345.789600000003702,,,1,Surface,0,dem_1m_m
-1,39.919939438377376,345.782699999996112,,,1,Surface,0,dem_1m_m
-1,40.801461406853583,345.776700000002165,,,1,Surface,0,dem_1m_m
-1,41.710630461274221,345.799400000003516,,,1,Surface,0,dem_1m_m
-1,42.619744535598045,345.852700000003097,,,1,Surface,0,dem_1m_m
-1,43.528913590264935,345.843299999993178,,,1,Surface,0,dem_1m_m
-1,44.438166173272442,345.808199999999488,,,1,Surface,0,dem_1m_m
-1,45.347280247596267,345.794699999998556,,,1,Surface,0,dem_1m_m
-1,46.256449303041059,345.828299999993760,,,1,Surface,0,dem_1m_m
-1,47.149381624183590,345.885699999998906,,,1,Surface,0,dem_1m_m
-1,48.042366841430081,345.903699999995297,,,1,Surface,0,dem_1m_m
-1,48.935214297829241,345.906900000001770,,,1,Surface,0,dem_1m_m
-1,49.828146618971772,345.892600000006496,,,1,Surface,0,dem_1m_m
-1,50.721078940114303,345.919999999998254,,,1,Surface,0,dem_1m_m
-1,51.614011261062004,345.922099999996135,,,1,Surface,0,dem_1m_m
-1,52.506911619578034,345.906700000006822,,,1,Surface,0,dem_1m_m
-1,53.399843940720565,345.853000000002794,,,1,Surface,0,dem_1m_m
-1,54.299996666174380,345.669299999994109,,,1,Surface,0,dem_1m_m
-1,55.200149392381199,345.487699999997858,,,1,Surface,0,dem_1m_m
-1,56.100280121336290,345.357399999993504,,,1,Surface,0,dem_1m_m
-1,57.000432847543109,345.213499999998021,,,1,Surface,0,dem_1m_m
-1,57.900585572996924,345.067200000004959,,,1,Surface,0,dem_1m_m
-1,58.800716303801252,344.940799999996671,,,1,Surface,0,dem_1m_m
-1,59.773354252398505,344.804199999998673,,,1,Surface,0,dem_1m_m
-1,60.746133610671428,344.698900000003050,,,1,Surface,0,dem_1m_m
-1,61.718841341759536,344.646099999998114,,,1,Surface,0,dem_1m_m
-1,62.691479291023896,344.568199999994249,,,1,Surface,0,dem_1m_m
-1,63.664187022112003,344.451499999995576,,,1,Surface,0,dem_1m_m
-1,64.636966380384919,344.379600000000210,,,1,Surface,0,dem_1m_m
-1,65.609674110805969,344.356499999994412,,,1,Surface,0,dem_1m_m
-1,66.463112918983185,344.330000000001746,,,1,Surface,0,dem_1m_m
-1,67.316551728252975,344.282500000001164,,,1,Surface,0,dem_1m_m
-1,68.170049198078104,344.255099999994854,,,1,Surface,0,dem_1m_m
-1,69.023488005501036,344.232099999993807,,,1,Surface,0,dem_1m_m
-1,69.876926814770826,344.206300000005285,,,1,Surface,0,dem_1m_m
-1,70.730424283503240,344.182100000005448,,,1,Surface,0,dem_1m_m
-1,71.633665669615752,344.172500000000582,,,1,Surface,0,dem_1m_m
-1,72.536907054117293,344.176900000005844,,,1,Surface,0,dem_1m_m
-1,73.440285126226158,344.133100000006380,,,1,Surface,0,dem_1m_m
-1,74.343526510727699,344.076499999995576,,,1,Surface,0,dem_1m_m
-1,75.246767896840211,344.057799999995041,,,1,Surface,0,dem_1m_m
-1,76.150009281341752,344.069099999993341,,,1,Surface,0,dem_1m_m
-1,77.028470965661228,344.068199999994249,,,1,Surface,0,dem_1m_m
-1,77.906932648730873,344.069199999998091,,,1,Surface,0,dem_1m_m
-1,78.785439040673424,344.060299999997369,,,1,Surface,0,dem_1m_m
-1,79.663900725409235,344.056899999995949,,,1,Surface,0,dem_1m_m
-1,80.542362408062544,344.028200000000652,,,1,Surface,0,dem_1m_m
-1,81.420913545191482,343.969299999997020,,,1,Surface,0,dem_1m_m
-1,82.259602821371701,343.926699999996345,,,1,Surface,0,dem_1m_m
-1,83.098292095539236,343.869500000000698,,,1,Surface,0,dem_1m_m
-1,83.936981370323181,343.840800000005402,,,1,Surface,0,dem_1m_m
-1,84.775736835734307,343.785199999998440,,,1,Surface,0,dem_1m_m
-1,85.614426110518252,343.776700000002165,,,1,Surface,0,dem_1m_m
-1,86.453115384685788,343.743799999996554,,,1,Surface,0,dem_1m_m
-1,87.327239048936235,343.718599999992875,,,1,Surface,0,dem_1m_m
-1,88.201430246673951,343.624899999995250,,,1,Surface,0,dem_1m_m
-1,89.075627667273892,343.631200000003446,,,1,Surface,0,dem_1m_m
-1,89.949751330895424,343.618499999996857,,,1,Surface,0,dem_1m_m
-1,90.823942528633140,343.576400000005378,,,1,Surface,0,dem_1m_m
-1,91.698139949233081,343.530199999993783,,,1,Surface,0,dem_1m_m
-1,92.572331146970797,343.486699999994016,,,1,Surface,0,dem_1m_m
-1,93.508981861287523,343.443199999994249,,,1,Surface,0,dem_1m_m
-1,94.445632575241518,343.385800000003655,,,1,Surface,0,dem_1m_m
-1,95.382223676064243,343.288400000004913,,,1,Surface,0,dem_1m_m
-1,96.318874389270519,343.214000000007218,,,1,Surface,0,dem_1m_m
-1,97.255525104334964,343.143899999995483,,,1,Surface,0,dem_1m_m
-1,98.192175818288959,343.064400000002934,,,1,Surface,0,dem_1m_m
-1,99.128826531495235,342.988100000002305,,,1,Surface,0,dem_1m_m
-1,100.091787672832481,342.893599999995786,,,1,Surface,0,dem_1m_m
-1,101.054803379612281,342.753200000006473,,,1,Surface,0,dem_1m_m
-1,102.017764520949527,342.649799999999232,,,1,Surface,0,dem_1m_m
-1,102.980780226712909,342.536399999997229,,,1,Surface,0,dem_1m_m
-1,103.943741368050155,342.403300000005402,,,1,Surface,0,dem_1m_m
-1,104.906673276245684,342.282699999996112,,,1,Surface,0,dem_1m_m
-1,105.869634418599205,342.208499999993364,,,1,Surface,0,dem_1m_m
-1,106.832650124362587,342.097599999993690,,,1,Surface,0,dem_1m_m
-1,107.795611265699833,342.007700000001932,,,1,Surface,0,dem_1m_m
-1,108.693501971827658,341.903099999995902,,,1,Surface,0,dem_1m_m
-1,109.591334054666461,341.828699999998207,,,1,Surface,0,dem_1m_m
-1,110.489143750758998,341.740499999999884,,,1,Surface,0,dem_1m_m
-1,111.386975834352342,341.635299999994459,,,1,Surface,0,dem_1m_m
-1,112.284866540480166,341.554900000002817,,,1,Surface,0,dem_1m_m
-1,113.182757245853509,341.502399999997579,,,1,Surface,0,dem_1m_m
-1,114.080589329446852,341.424799999993411,,,1,Surface,0,dem_1m_m
-1,114.978480035574677,341.338000000003376,,,1,Surface,0,dem_1m_m
-1,115.876312119168020,341.254899999999907,,,1,Surface,0,dem_1m_m
-1,116.828234300544224,341.177800000004936,,,1,Surface,0,dem_1m_m
-1,117.780099464094405,341.110100000005332,,,1,Surface,0,dem_1m_m
-1,118.732021646235694,341.059800000002724,,,1,Surface,0,dem_1m_m
-1,119.683886809785875,340.978600000002189,,,1,Surface,0,dem_1m_m
-1,120.635751973336056,340.866099999999278,,,1,Surface,0,dem_1m_m
-1,121.587674155477345,340.804000000003725,,,1,Surface,0,dem_1m_m
-1,122.539539319027526,340.790900000007241,,,1,Surface,0,dem_1m_m
-1,123.501974548346794,340.749800000005052,,,1,Surface,0,dem_1m_m
-1,124.464360126375212,340.660199999998440,,,1,Surface,0,dem_1m_m
-1,125.426745704403629,340.589099999997416,,,1,Surface,0,dem_1m_m
-1,126.389180931989600,340.526700000002165,,,1,Surface,0,dem_1m_m
-1,127.351566510018017,340.470199999996112,,,1,Surface,0,dem_1m_m
-1,128.314038894304076,340.420800000007148,,,1,Surface,0,dem_1m_m
-1,129.276474123623331,340.380600000004051,,,1,Surface,0,dem_1m_m
-1,130.238859700727005,340.315600000001723,,,1,Surface,0,dem_1m_m
-1,131.164002636293759,340.251099999994040,,,1,Surface,0,dem_1m_m
-1,132.089176787084739,340.214500000001863,,,1,Surface,0,dem_1m_m
-1,133.014266360887007,340.156900000001770,,,1,Surface,0,dem_1m_m
